	 Revision 20120319 2323
49256px11	Duplo Primo Brick 1 x 1 x 1 with Cat Head and Dog Head Patterns on Opposite Sides	
31000px26	Duplo Primo Brick 1 x 1 x 1 with Dog/Rabbit Pattern	
31000px2	Duplo Primo Brick 1 x 1 x 1 with Duplo Bunny Logo/LEGO Logo Pattern	
31000px22	Duplo Primo Brick 1 x 1 x 1 with Duplo Bunny Logo/Three Red Dots Pattern	
31007	Duplo Primo Brick 1 x 1 x 1 with Four Duplo Studs	
31000px7	Duplo Primo Brick 1 x 1 x 1 with Giraffe Head / Palm Tree Pattern	
31000px9	Duplo Primo Brick 1 x 1 x 1 with Giraffe Legs / Palm Tree Base Pattern	
31000px8	Duplo Primo Brick 1 x 1 x 1 with Giraffe Torso / Palm Tree Trunk Pattern	
31000px1	Duplo Primo Brick 1 x 1 x 1 with LEGO Logo Pattern	
31000px25	Duplo Primo Brick 1 x 1 x 1 with Lion/Monkey Pattern	
31000px5	Duplo Primo Brick 1 x 1 x 1 with MdOrange Teddy Bear Pattern on Two Sides	
31000p1m	Duplo Primo Brick 1 x 1 x 1 with Multicolored Dots Pattern	blue,green,yellow
31000px13	Duplo Primo Brick 1 x 1 x 1 with Red Baby Carriage Pattern	
31000px14	Duplo Primo Brick 1 x 1 x 1 with Red Car Pattern	
31000px6	Duplo Primo Brick 1 x 1 x 1 with Red Truck Pattern on Two Sides	
31000px12	Duplo Primo Brick 1 x 1 x 1 with Red Truck and Ladder Pattern	
31000px21	Duplo Primo Brick 1 x 1 x 1 with Ten Pink Spots Pattern	
31000px16	Duplo Primo Brick 1 x 1 x 1 with Ten Red/Orange Spots Pattern	
31000px17	Duplo Primo Brick 1 x 1 x 1 with Ten White Spots Pattern	
31000p1r	Duplo Primo Brick 1 x 1 x 1 with Three Red Dots Pattern	
31000p1w	Duplo Primo Brick 1 x 1 x 1 with Three White Dots Pattern	
31000p1y	Duplo Primo Brick 1 x 1 x 1 with Three Yellow Dots Pattern	
31000px11	Duplo Primo Brick 1 x 1 x 1 with Three Yellow Stars Pattern	
31000px18	Duplo Primo Brick 1 x 1 x 1 with Two Pink/White Spots Pattern	
31000px20	Duplo Primo Brick 1 x 1 x 1 with Two White/Orange Spots Pattern	
31000px19	Duplo Primo Brick 1 x 1 x 1 with Two Yellow/LtGreen Spots Pattern	
31000px10	Duplo Primo Brick 1 x 1 x 1 with Yellow Square Pattern	window
31004cx1	Duplo Primo Brick 1 x 1 x 2 Rattle with Mirror	
31001	Duplo Primo Brick 1 x 2	
31001px3	Duplo Primo Brick 1 x 2 with Green, Yellow, and Red Squares Pattern	windows
31605cx2	Duplo Primo Brick 1 x 2 with Hitches and Red Wheels	
31605cx1	Duplo Primo Brick 1 x 2 with Hitches and Yellow Wheels	
31001px4	Duplo Primo Brick 1 x 2 with LEGO Logo Pattern	
31001px1	Duplo Primo Brick 1 x 2 with Six Yellow Spots Pattern on Each Side	
31001px2	Duplo Primo Brick 1 x 2 with Six Yellow Stars Pattern on Each Side	
31008	Duplo Primo Brick 1 x 2 with Wheel Holders	
31605	Duplo Primo Brick 1 x 2 with Wheel Holders and Hitches	
31008cx1	Duplo Primo Brick 1 x 2 with Yellow Wheels	
31002	Duplo Primo Brick 1 x 3	
31767	Duplo Primo Brick 1 x 3 with Curved Bottom	seesaw
31148	Duplo Primo Brick 2 x 2	
31149	Duplo Primo Brick 2 x 3	
31636cx1	Duplo Primo Building House/Basket with Ring Handle and Elephant and Tree Pattern	
31637	Duplo Primo Building Roof/Hatch Curved with Hinges	
x1293c01	Duplo Primo Catapult 1 x 2 with Red Studs	
31645cx1	Duplo Primo Catapult with Red Plate and Yellow Button	
x1720cx1	Duplo Primo Cloth House with Window Opening, Blue Roof, and Yellow Velcro Locking Door	
x1724cx1	Duplo Primo Cloth Insect Ring with White Wings and Bee/Ladybug Pattern	
x1944cx1	Duplo Primo Cloth Playmat with Pockets, Rattling Flaps, and Eight Velcro Bands	
x1945cx1	Duplo Primo Cloth Rattling Handpuppet Elephant Large	
x1946cx1	Duplo Primo Cloth Rattling Handpuppet Elephant Small	
x1947cx1	Duplo Primo Cloth Rattling Handpuppet Mouse Small	
x1747cx1	Duplo Primo Cloth Sleeping Bag with Hanger, Velcro Lock, and Pink Dots Pattern	
72957	Duplo Primo Container Jar	
31696px1	Duplo Primo Container Jar Lid Whale with Eyes Pattern	animal
31017	Duplo Primo Figure	
45219cx4	Duplo Primo Figure Bust 1 x 1 Complete Construction Worker	
45219cx2	Duplo Primo Figure Bust 1 x 1 Complete Fireman	
45219cx3	Duplo Primo Figure Bust 1 x 1 Complete Policeman	
45219cx1	Duplo Primo Figure Bust 1 x 1 Complete Truck Driver	mechanic
x1321px1	Duplo Primo Figure Mickey Mouse	31763
x1322px1	Duplo Primo Figure Minnie Mouse	31763
31017cx7	Duplo Primo Figure with Blue Base and Brown Male Hair	
31017cx14	Duplo Primo Figure with Blue Base, Blue Suspenders, and Brown Male Hair	overalls,dungarees
31017cx8	Duplo Primo Figure with Blue Base, White Belt, and LtBrown Male Hair	
31017cx15	Duplo Primo Figure with Blue Base, White Stripes and Buttons, and Brown Male Hair	overalls,dungarees
31017cx23	Duplo Primo Figure with Green Base with White Stripes, Two White Buttons, Red Clown Nose, and Orange Male Hair	
31017cx3	Duplo Primo Figure with Green Base with White Stripes, Two White Buttons, and Orange Male Hair	clown,red nose
31017cx13	Duplo Primo Figure with Green Base, Pink Flower with Orange Center, Eyelashes, and Brown Female Hair	
31017cx5	Duplo Primo Figure with Green Base, White Stripes and Anchor, and DkOrange Male Hair	
31017cx22	Duplo Primo Figure with Lime Base, Lime Dungarees, Blue Scarf, and Red Cap	
31017cx18	Duplo Primo Figure with LtGreen Base, Blue Kerchief, and Orange Cap	sailor,scarf
31017cx17	Duplo Primo Figure with Orange Base, Dungarees with Wrench, and LtGreen Cap	
31017cx10	Duplo Primo Figure with Red Base, Blue Striped Swimsuit, Eylashes and Brown Female Hair	
31017cx6	Duplo Primo Figure with Red Base, Glasses, and Green Cap	
31017cx19	Duplo Primo Figure with Red Base, Red Dungarees with Red Heart on Patch Pocket, Eyelashes, and Black Female Hair	
31017cx21	Duplo Primo Figure with Red Base, Red Dungarees, and Green Cap	
31017cx9	Duplo Primo Figure with Red Base, Red Suspenders and Brown Male Hair Pattern	
31017cx12	Duplo Primo Figure with Red Base, Suprised Expression, and DkOrange Male Hair	
31017cx2	Duplo Primo Figure with Red Base, Two Yellow Buttons, and Brown Male Hair	
31017cx4	Duplo Primo Figure with White Base with Red Dots, Gold Crown, and Black Female Hair	
31017cx16	Duplo Primo Figure with Yellow Base, Fish, and Black Male Hair	
31017cx20	Duplo Primo Figure with Yellow Base, Yellow Fish and Suspenders, and Blue Cap	
31641px1	Duplo Primo Furniture Crib 1 x 2 with Man-in-the-Moon in a Cloud Pattern	bed
49833c01	Duplo Primo Giraffe Head (Complete Assembly)	
31615	Duplo Primo House 1 x 2 x 2 Building with Round Window	
31616	Duplo Primo House 1 x 2 x 2 Door with Round Window	
45215	Duplo Primo Ladder with Three Steps and Hinges	
31011c01	Duplo Primo Merry-Go-Round Rattle with Yellow Base	
72120cx1	Duplo Primo Net Fish Shaped (Complete Assembly with Red Spots Pattern and Red Net)	
51715	Duplo Primo Plant Flower with Five Petals and Centre Hole	teether
31609cx1	Duplo Primo Plant Palm Tree with Yellow Flexible Ribbed Beeping Trunk	
31631cx1	Duplo Primo Plant Waterlily 3 x 3 with 8 Petals and Red Center Stud	
31631cx2	Duplo Primo Plant Waterlily 3 x 3 with 8 Petals and Yellow Center Stud	
4122871	Duplo Primo Plastic Dust Cover for Fish Tub 4 x 6 x 2	
45212cx1	Duplo Primo Plate 1 x 1 Light Dome with TrBlue Insert	
45209	Duplo Primo Plate 1 x 1 with Hinges	
45211px3	Duplo Primo Plate 1 x 1 with Plates with Blue Mudguards and Grille with Star Pattern	
45210px4	Duplo Primo Plate 1 x 1 with Plates with Lever and Gauge Pattern	
45211px1	Duplo Primo Plate 1 x 1 with Plates with Orange Mudguards and Grille with Wrench Pattern	
45211px2	Duplo Primo Plate 1 x 1 with Plates with Red Mudguards and Grille with Flame Pattern	
45210px3	Duplo Primo Plate 1 x 1 with Plates with Siren and Badge Pattern	
45210px1	Duplo Primo Plate 1 x 1 with Plates with Tow Truck Pattern	
45210px2	Duplo Primo Plate 1 x 1 with Plates with Water Pump Pattern	
45211px4	Duplo Primo Plate 1 x 1 with Plates with Yellow Mudguards and Grille with Triangle Pattern	
31133	Duplo Primo Plate 2 x 6	
31012	Duplo Primo Plate 3 x 3	
31013	Duplo Primo Plate 4 x 4	
44656cx1	Duplo Primo Plate Flower Center with Face Pattern, TrGreen Rattling Bottom, and Green Coiled Stem	
x1723cx1	Duplo Primo Pull Back Insect with Black Bottom and Bee Pattern	
x1723cx2	Duplo Primo Pull Back Insect with Black Bottom and Ladybug Pattern	
72110	Duplo Primo Raft Fish 4 x 6 with Hole for Miniraft	
31120cx1	Duplo Primo Rattling Ladybug Telephone Complete Assembly with Green Rubber Cord	
31118	Duplo Primo Shape Sorter Chamber Door Circular	
31117	Duplo Primo Shape Sorter Chamber Door Square	
31119	Duplo Primo Shape Sorter Chamber Door Triangular	
31127cx2	Duplo Primo Shape Sorter Chamber with Blue Circular Portal	round
31127cx5	Duplo Primo Shape Sorter Chamber with LtGreen Circular Portal	round
31127cx4	Duplo Primo Shape Sorter Chamber with LtYellow Square Portal	
31127cx6	Duplo Primo Shape Sorter Chamber with MdBlue Triangular Portal	
31127cx1	Duplo Primo Shape Sorter Chamber with Red Square Portal	
31127cx3	Duplo Primo Shape Sorter Chamber with Yellow Triangular Portal	
31657cx1	Duplo Primo Shape Sorter Cube (Complete Assembly)	
x1107	Duplo Primo Shape Sorter Pyramid	
31139	Duplo Primo Sprinkler Bottle 1 x 1 x 2 Round	
31139px1	Duplo Primo Sprinkler Bottle 1 x 1 x 2 Round with Orange Fish and White Bubbles Pattern	
31139px2	Duplo Primo Sprinkler Bottle 1 x 1 x 2 Round with Two Yellow Fish Pattern	
31139px3	Duplo Primo Sprinkler Bottle 1 x 1 x 2 Round with White Fish and Gray Bubbles Pattern	
31137	Duplo Primo Stacking Circle 110 mm	
31134	Duplo Primo Stacking Circle 60 mm	
31135	Duplo Primo Stacking Circle 76 mm	
31136	Duplo Primo Stacking Circle 93 mm	
49274	Duplo Primo Stacking Disc 115 mm	
49275c01	Duplo Primo Stacking Disc 137 mm with MdLime Rattling Rocking Base	
49273px1	Duplo Primo Stacking Disc 82 mm with Raised Dots with Brown/Purple Dots Pattern	
4101305cx1	Duplo Primo Storage Cannister Body with Red Base	
4101304p01	Duplo Primo Storage Cannister Lid Dome with Bear Pattern	
4101304p02	Duplo Primo Storage Cannister Lid Dome with Bird Face Pattern	
4101304p03	Duplo Primo Storage Cannister Lid Dome with Eyes and Smiling Mouth Pattern	
31772	Duplo Primo Storage Cannister Rectangular 2 x 4 x 1 Lid	
23023	Duplo Primo Storage Cannister Rectangular 2 x 4 x 7 Bottom	
x1871	Duplo Primo Storage Cannister with Handles	
x1748	Duplo Primo Teether Chain Link Cloth Connector with Velcro	
31652	Duplo Primo Teether Chain Link End	
31698cx1	Duplo Primo Teether Chain Link Hexagonal with Yellow Button and Happy Face	
31697cx1	Duplo Primo Teether Chain Link with Red Button and Ladybug	
31697cx2	Duplo Primo Teether Chain Link with Yellow Button and Elephant Head	
31655cx1	Duplo Primo Teether Eight Pink Flower Petals around Stud with Happy Face	
31155cx3	Duplo Primo Train Engine 1 x 2 with Red Wheels, Red Button, and Face Pattern	
31155cx2	Duplo Primo Train Engine 1 x 2 with Red Wheels, Yellow Button, and Face Pattern	
31155cx1	Duplo Primo Train Engine 1 x 2 with Yellow Wheels, Yellow Button, and Face Pattern	
45216	Duplo Primo Vehicle Bucket with Arms and Hinges	
45205cx1	Duplo Primo Vehicle Car Base 1 x 2 with DkGray Wheels	
45218px1	Duplo Primo Vehicle Cargo Bed with Lego Logo and Safety Stripes Pattern	
45746cx1	Duplo Primo Vehicle Lift Crane with Yellow Crane Halves	
45217	Duplo Primo Vehicle Tow Crane with Hinges and Hook	
31009	Duplo Primo Wheel	
47414	Duplo Propellor 2 Blade 9 Diameter with Two Studs	
6346	Duplo Propellor 3 Blade 11 Diameter with Four Center Studs	
62670	Duplo Propellor 3 Blade 4 Diameter	
6352	Duplo Propellor 3 Blade 5 Diameter	
x1123	Duplo Propellor 3 Blade 6 Diameter	
3965	Duplo Propellor 8 Blade	windmill
x1873cx1	Duplo Rattle Round Oval with Blue/Yellow Ball	
x1873cx2	Duplo Rattle Round Oval with Red/Yellow Rattle Ball	
31205	Duplo Road Curved	
31205px1	Duplo Road Curved with Blue Stripes Pattern	
31205px3	Duplo Road Curved with Green Stripes Pattern	
31205px2	Duplo Road Curved with Red Stripes Pattern	
31205px4	Duplo Road Curved with Yellow Stripes Pattern	
31210	Duplo Road Ramp Down	
31206	Duplo Road Ramp Up	
44688	Duplo Road Section Slope with Two Studs at Top of Slope	
42316c01	Duplo Road Stoplight with Changing Lights	
31211	Duplo Road Straight	
41970	Duplo Roadsign Round 1 x 3 x 2	
41970px4	Duplo Roadsign Round 1 x 3 x 2 with Green Recyling Arrows Pattern	
41970px2	Duplo Roadsign Round 1 x 3 x 2 with Left Turn Arrow Pattern	
41970px3	Duplo Roadsign Round 1 x 3 x 2 with Right Turn Arrow Pattern	
41970px1	Duplo Roadsign Round 1 x 3 x 2 with STOP in Octagon Pattern	
41970px6	Duplo Roadsign Round 1 x 3 x 2 with Sunflower Pattern	
41970px5	Duplo Roadsign Round 1 x 3 x 2 with White Bus in Circle Pattern	
42025	Duplo Roadsign Triangular 1 x 3 x 2	
42025px03	Duplo Roadsign Triangular 1 x 3 x 2 with Men Working Pattern	construction worker
42025px02	Duplo Roadsign Triangular 1 x 3 x 2 with Pedestrian Crossing Pattern	
42025px01	Duplo Roadsign Triangular 1 x 3 x 2 with Silver and Red Triangle Pattern	
42025px05	Duplo Roadsign Triangular 1 x 3 x 2 with Steam Engine Pattern	
42025px04	Duplo Roadsign Triangular with Black '!' on White Pattern	
x1316c01	Duplo Rock & Pull Wagon 4 x 10 with Red/Blue Wheels & Rattles	
x1316c02	Duplo Rock & Pull Wagon 4 x 10 with Yellow/Blue Wheels & Rattles	
31071	Duplo Rock Cave 4 x 4 x 6 with Crack Hole	
31072	Duplo Rock Cave 8 x 4 x 6 with Door Opening	
31067	Duplo Rock Cave Door 4 x 4 Curved	
31072px1	Duplo Rock Cave with Door Opening and Strawberry Pattern	
6436	Duplo Roof 2 x 10 x 3 Arch	
4813c01	Duplo Roof 55 8 x 4 Shingled Attic with Hatch Cutout and Red Walls	
4814	Duplo Roof 55 Pinewood Board Attic Hatch 4 x 5	
4897	Duplo Roof Shingled with Chimney	
4896	Duplo Roof Support	
4896c01	Duplo Roof Support 3 x 11 x 4 with Red Shingled Roof and Chimney	
2211cx3	Duplo Roofpiece 33 2 x 4 Shingled 4 x 4 with Red Support	
2211cx1	Duplo Roofpiece 45 2 x 4 Shingled with Blue Support	roof
2211cx2	Duplo Roofpiece 45 2 x 4 Shingled with White Support	roof
4860cx1	Duplo Roofpiece 45 4 x 4 Shingled with Blue Support	roof
4860cx4	Duplo Roofpiece 45 4 x 4 Shingled with DoveBlue Support	
4860ac03	Duplo Roofpiece 45 4 x 4 Shingled with LtYellow Support	roof
4860cx2	Duplo Roofpiece 45 4 x 4 Shingled with Red Support	roof
4860cx3	Duplo Roofpiece 45 4 x 4 Shingled with Yellow Support	
52025	Duplo Roofpiece 6 x 4 x 8 Half Cone	
31030cx1	Duplo Roofpiece 60 2 x 4 Shingled with LtYellow Support	roof
31030cx2	Duplo Roofpiece 60 2 x 4 Shingled with Red Support	
51384cx1	Duplo Roofpiece 8 x 8 x 6 with Door Opening and Top Roof with 2 x 2 Studs	loft
4818c01	Duplo Roofpiece Chimney (Complete Assembly with Red Fire)	roof
51383	Duplo Roofpiece Gable 6 x 6	loft
2211	Duplo Roofpiece Slope 33 2 x 4 Shingled	
31170	Duplo Roofpiece Slope 33 4 x 4 with Awning Overhang	
31170px1	Duplo Roofpiece Slope 33 4 x 4 with Awning Overhang and White Stripes Pattern	
31030	Duplo Roofpiece Slope 60 2 x 4 Shingled	
x1184	Duplo Rope	string
42078cx1	Duplo Rope Rubber 12L with Black Stud and Case	
2290	Duplo Rope Rubber with Loops on Ends	
31219	Duplo Round Dish 4 x 4 Inverted with 2 x 2 Base	mushroom
31219px1	Duplo Round Dish 4 x 4 Inverted with 2 x 2 Base with Seven Black Spots Pattern	
31219px2	Duplo Round Dish 4 x 4 Inverted with 2 x 2 Base with Turtle Shell Pattern	
47408	Duplo Safety Cone	
47408px1	Duplo Safety Cone with White Reflective Stripes Pattern	
31453	Duplo Seesaw 2 x 6 with Curved Sides	
31453px2	Duplo Seesaw 2 x 6 with Curved Sides with Multicolored Dots Pattern	
31453px1	Duplo Seesaw 2 x 6 with Curved Sides with Wood and Water Pattern	
31167	Duplo Sheriff Star with Clip (for humans)	
x1179	Duplo Shopping Cart 2 x 3 x 1	
x827	Duplo Sign Post Short	stand,signal
4913	Duplo Sign Post Tall	stand,signal
2318cx1	Duplo Siren 1 x 3 with TrBlue Glass	
2318cx3	Duplo Siren 1 x 3 with TrOrange Glass	
31251cx2	Duplo Siren 2 x 4 with TrRed Lights and Button	
31251cx1	Duplo Siren 2 x 4 with TrYellow Lights and Button	
31157	Duplo Slide	
x1258px3	Duplo Slide 6 x 4 with Animals Pattern	
x1258px1	Duplo Slide 6 x 4 with Chalkboard Pattern	blackboard
x1258px5	Duplo Slide 6 x 4 with Lion Pattern	
x1258px2	Duplo Slide 6 x 4 with Musical Instruments Pattern	
x1258px6	Duplo Slide 6 x 4 with Nesting Box Pattern	
x1258px4	Duplo Slide 6 x 4 with Tools Pattern	
x1257	Duplo Slide Holder 1 x 6 x 4	
63871	Duplo Slope Brick 40 2 x 3 x 2	
6474	Duplo Slope Brick 45 2 x 2 x 1 1/2	
6474px7	Duplo Slope Brick 45 2 x 2 x 1 1/2 with Calculator Pattern	
6474px18	Duplo Slope Brick 45 2 x 2 x 1 1/2 with Computer Screen on Back Pattern	
6474px20	Duplo Slope Brick 45 2 x 2 x 1 1/2 with Computer Screen with E-mail Picture on Back	
6474px10	Duplo Slope Brick 45 2 x 2 x 1 1/2 with Curve Picture, Control Lamps, and Keyboard Pattern	
6474px11	Duplo Slope Brick 45 2 x 2 x 1 1/2 with Joystick and Controls Pattern	
6474px04	Duplo Slope Brick 45 2 x 2 x 1 1/2 with Map and Keyboard Pattern	
6474px9	Duplo Slope Brick 45 2 x 2 x 1 1/2 with Map and Red, Blue, Gray Buttons Pattern	
6474px12	Duplo Slope Brick 45 2 x 2 x 1 1/2 with Map of Africa and Giraffe Pattern	
6474px13	Duplo Slope Brick 45 2 x 2 x 1 1/2 with Map of Africa and Lion Pattern	
6474px22	Duplo Slope Brick 45 2 x 2 x 1 1/2 with Map of China and Tiger Pattern	
6474px15	Duplo Slope Brick 45 2 x 2 x 1 1/2 with Map of Greenland and Polar Bear Pattern	
6474px06	Duplo Slope Brick 45 2 x 2 x 1 1/2 with Octan Logo and Text with Black and Green Gauge Pattern	
6474px03	Duplo Slope Brick 45 2 x 2 x 1 1/2 with Octan Text with Gray and Green Gauge Pattern	
6474px21	Duplo Slope Brick 45 2 x 2 x 1 1/2 with Octan, Digits, and Gas Gauge Pattern	
6474px23	Duplo Slope Brick 45 2 x 2 x 1 1/2 with Sine Curve Pattern	
6474px8	Duplo Slope Brick 45 2 x 2 x 1 1/2 with Speeding Car Pattern	
6474px24	Duplo Slope Brick 45 2 x 2 x 1 1/2 with Speedometer and Analog and Digital 34.5 Pattern	
6474px14	Duplo Slope Brick 45 2 x 2 x 1 1/2 with TV Screen with Juggling Clown Pattern on Back	
6474px19	Duplo Slope Brick 45 2 x 2 x 1 1/2 with TV Screen with Racing Game Pattern on Back	
6474px6	Duplo Slope Brick 45 2 x 2 x 1 1/2 with Telephone Pattern	
6474px16	Duplo Slope Brick 45 2 x 2 x 1 1/2 with Two Green Lamps and Gauge Pattern	
6474px05	Duplo Slope Brick 45 2 x 2 x 1 1/2 with Windscreen and Clown Face Pattern	television
6474px01	Duplo Slope Brick 45 2 x 2 x 1 1/2 with Windscreen and Face with Black Hair Pattern	head,television,tv
6474px02	Duplo Slope Brick 45 2 x 2 x 1 1/2 with Windscreen and Face with Red Hair Pattern	head,television,tv
6474px17	Duplo Slope Brick 45 2 x 2 x 1 1/2 with Yellow 12 on Back Pattern	
4860a	Duplo Slope Brick 45 2 x 4 with 3 Holes	
54010	Duplo Slope Triple Convex 3 x 6 x 5	
54010px1	Duplo Slope Triple Convex 3 x 6 x 5 with Green Truss Pattern	girders
61088cx1	Duplo Sound Brick 4 x 2 x 1 1/2 Pump Machinery with Yellow Buttons and Batteries	
42104cx02	Duplo Sound Brick 4 x 4 with Dora The Explorer Sounds Pattern	
42104cx01	Duplo Sound Brick 4 x 4 with Eight Sound Symbols Pattern	42103, 42105
44698px1	Duplo Stand 3 x 4 x 2 with Notch for Lever and Cog Wheels with Copper Pattern	
42248	Duplo Steamroller Base Front Roller	Roley
42250	Duplo Steamroller Base Rear Roller Wheels	Roley
42254	Duplo Steamroller Front with Grille and Headlight Eyes	Roley
4221554	Duplo Sticker Sheet Game Set 9040	
4798cx1	Duplo Storage Block 8 x 16 with 6 x 8 Studs Under	
x1948px1	Duplo Storage Cannister Bluebell Huge Body with Face Pattern	
31293	Duplo Storage Cannister Bluebell Huge Flower Lid	
x1766	Duplo Storage Cannister Rectangular Huge Body	
33067	Duplo Storage Cannister Rectangular Lid with Four Studs	
50482px1	Duplo Storage Tube Cannister Lid with Four Studs and Face Pattern	
50272c01	Duplo Storage Tube Cannister with Two Yellow Rings	
x1430	Duplo Storage Water Park Tub	
42166cx1	Duplo Storybuilder Base Unit with BtGreen Bottom and Battery Compartment	
42180px3	Duplo Storybuilder Cartridge with Book Pattern	
42177px5	Duplo Storybuilder Cartridge with Boy Pattern	
42179px2	Duplo Storybuilder Cartridge with Boy and Helmet Pattern	
42183px4	Duplo Storybuilder Cartridge with Brontosaurus Pattern	
42177px2	Duplo Storybuilder Cartridge with Castle Boy and Torch Pattern	
42176px2	Duplo Storybuilder Cartridge with Castle Girl Pattern	
42181px3	Duplo Storybuilder Cartridge with Cat Pattern	
42183px5	Duplo Storybuilder Cartridge with Cat Pattern	
42177px4	Duplo Storybuilder Cartridge with Cave Boy Pattern	
42176px4	Duplo Storybuilder Cartridge with Cave Girl Pattern	
42182px4	Duplo Storybuilder Cartridge with Cave and Fire Pattern	
42181px1	Duplo Storybuilder Cartridge with Chicken Pattern	
42179px1	Duplo Storybuilder Cartridge with Cows Pattern	
42180px2	Duplo Storybuilder Cartridge with Dragon Pattern	
42182px5	Duplo Storybuilder Cartridge with Duck Pattern	
42181px0	Duplo Storybuilder Cartridge with Elephant Pattern	
42178px5	Duplo Storybuilder Cartridge with Elf and Mushroom Pattern	
42182px1	Duplo Storybuilder Cartridge with Farmer and Dog Pattern	
42177px1	Duplo Storybuilder Cartridge with Farmyard Boy Pattern	Fred
42176px1	Duplo Storybuilder Cartridge with Farmyard Girl Pattern	Tess
42178px3	Duplo Storybuilder Cartridge with Female Pattern	
42183px0	Duplo Storybuilder Cartridge with Frog Pattern	
42176px5	Duplo Storybuilder Cartridge with Girl Pattern	
42180px5	Duplo Storybuilder Cartridge with Grandpa and Grandma Pattern	
42181px2	Duplo Storybuilder Cartridge with Horse Pattern	
42177px0	Duplo Storybuilder Cartridge with Jungle Boy Pattern	
42176px0	Duplo Storybuilder Cartridge with Jungle Girl Pattern	
42183px2	Duplo Storybuilder Cartridge with Knight Pattern	
42179px3	Duplo Storybuilder Cartridge with Male Pattern	
42183px3	Duplo Storybuilder Cartridge with Mirror Pattern	
42179px0	Duplo Storybuilder Cartridge with Monkey Pattern	
42179px5	Duplo Storybuilder Cartridge with Mouse and Hot Dog Pattern	
42177px3	Duplo Storybuilder Cartridge with Palace Boy Pattern	
42176px3	Duplo Storybuilder Cartridge with Palace Girl Pattern	
42178px0	Duplo Storybuilder Cartridge with Parrot Pattern	
42180px1	Duplo Storybuilder Cartridge with Pig Pattern	
42179px4	Duplo Storybuilder Cartridge with Pteranodon Pattern	pterodactyl
42178px2	Duplo Storybuilder Cartridge with Raised Bridge Pattern	
42178px4	Duplo Storybuilder Cartridge with Rock with Face Pattern	
42178px1	Duplo Storybuilder Cartridge with Sheep Pattern	
42180px0	Duplo Storybuilder Cartridge with Snake Pattern	
42181px4	Duplo Storybuilder Cartridge with Stegosaurus Pattern	
42182px2	Duplo Storybuilder Cartridge with Sword Pattern	
42180px4	Duplo Storybuilder Cartridge with T-Rex Pattern	
42182px0	Duplo Storybuilder Cartridge with Tiger Pattern	
42183px1	Duplo Storybuilder Cartridge with Tractor Pattern	
42181px5	Duplo Storybuilder Cartridge with Vacuum Cleaner Pattern	
42182px3	Duplo Storybuilder Cartridge with Witch Pattern	
43999	Duplo Storybuilder Memory Card with Castle Scene	
44017	Duplo Storybuilder Memory Card with Dinosaur Scene	
43990	Duplo Storybuilder Memory Card with Farm Scene	
44026	Duplo Storybuilder Memory Card with Home Scene	
43981	Duplo Storybuilder Memory Card with Jungle Scene	
44008	Duplo Storybuilder Memory Card with Palace Scene	
42083	Duplo Street Lamppost	lamp post
57888	Duplo Support 2 x 2 x 6 Round Column with Open Latticed Back	
4537	Duplo Support 2 x 4 x 3	girder,support, x-frame,technic
4539	Duplo Support 2 x 8 x 6	girder,support, a-frame
41969	Duplo Support on Tile 2 x 3 with 2 Top Studs	
48642	Duplo Swing Double Seat	
6496	Duplo Swing Frame 4 x 3 x 5	
6514	Duplo Swing Seat 3 x 2 x 4	
6429	Duplo Tank 3 x 3 x 2 Ovoid with Groove for Hose	
6429c00	Duplo Tank 3 x 3 x 2 Ovoid with Groove for Hose Complete with Gable	
6429px3	Duplo Tank 3 x 3 x 2 Ovoid with Groove for Hose with Grille and Two Fire Logos Pattern	
6429px1	Duplo Tank 3 x 3 x 2 Ovoid with Groove for Hose with Octan Text and Logo Pattern	
6429px2	Duplo Tank 3 x 3 x 2 Ovoid with Groove for Hose with White FIRE Text and Logo Pattern	
59559	Duplo Tank 4 x 4 x 1 1/2 Bottom with One Stud on Sides	
59684px2	Duplo Tank 4 x 4 x 1 1/2 Top with 2 x 4 Studs and Cow Holding Glass of Milk Pattern	
59684px1	Duplo Tank 4 x 4 x 1 1/2 Top with 2 x 4 Studs and OCTAN Text and Logo on One Side and Red/Green Stripes on Opposite Side	
x1450	Duplo Technic Axle 5 with Gear 8 Tooth	
6522	Duplo Technic Axle 6	
6521	Duplo Technic Axle 8	
x1682	Duplo Technic Axle 8 with Gear 8 Tooth	
6525	Duplo Technic Beam 11	liftarm
6524	Duplo Technic Beam 7	liftarm
6515c01	Duplo Technic Brick 2 x 10 with Holes	
6517c01	Duplo Technic Brick 2 x 4 with Holes	
6526	Duplo Technic Crank Handle	
6529	Duplo Technic Gear 24 Tooth	
31622	Duplo Technic Gear 24 Tooth Crown	
6530	Duplo Technic Gear 40 Tooth	
31624	Duplo Technic Gear Box 2 x 4 x 4 1/2	
52924	Duplo Technic Plate 2 x 4 with Two Holes	
x1448	Duplo Technic Tyre	
6527	Duplo Technic Wedge Belt Wheel	Machine Pulley
6527cx1	Duplo Technic Wedge Belt Wheel with White Rope and Yellow Hook	
31625	Duplo Technic Worm Screw	worm gear
x1728cx1	Duplo Teether Oval 2 x 6 x 3 with Handle and Turning Red Duck Face with Yellow Beak and Rattling Eyes	
x1728cx2	Duplo Teether Oval 2 x 6 x 3 with Handle and Turning Yellow Duck Face with Red Beak and Rattling Eyes	
